#{"t_start": 1767870456.440601, "env_id": "LunarLander-v3"}
r,l,t
-96.589789,140,1467.579294
-47.775428,99,1467.734358
-74.915427,131,1467.946588
-67.091718,86,1468.079916
-81.997871,87,1468.212818
-74.270484,158,1468.482018
-60.686282,101,1468.642676
-64.22993,74,1468.756522
-130.279707,94,1468.894408
-48.289572,90,1469.036413
-55.76982,116,1469.214457
-106.578142,102,1469.372729
-80.564486,164,1469.631527
-66.33544,151,1469.871989
-132.438272,102,1470.032945
-200.526284,120,1470.217165
18.511106,126,1470.42547
-101.641817,178,1470.71225
-21.38382,209,1471.052976
-122.558438,65,1471.152989
-58.238913,113,1471.335931
-430.880128,130,1471.548504
-74.597395,83,1471.677592
-22.017797,63,1471.772062
-106.240341,90,1471.927194
-122.829889,127,1472.195675
-49.975973,151,1472.467616
-218.481839,104,1472.654441
-48.386162,116,1472.865271
-77.333946,147,1473.126221
-74.763199,78,1473.260937
-96.476547,102,1473.438438
-103.994494,116,1473.639982
-77.55144,75,1473.79054
-57.925993,93,1473.94431
-119.013307,142,1474.185496
-80.000483,87,1474.355221
3.762968,140,1474.628761
-83.241246,132,1474.869554
-72.228477,125,1475.096143
-99.660921,104,1475.302987
-84.691698,129,1475.554218
-106.467507,93,1475.725534
-83.693057,104,1475.930111
-45.106777,154,1476.191483
-158.669271,124,1476.397562
-37.882056,149,1476.650244
-84.67283,90,1476.787792
-27.231565,179,1477.099079
-104.647987,109,1477.271169
-79.581597,167,1477.547827
-186.717775,100,1477.705501
-0.998034,210,1478.051124
-31.118138,148,1478.285634
-257.379526,133,1478.507426
27.764544,107,1478.673758
-52.826115,161,1478.946887
-58.637853,140,1479.185688
-126.557956,172,1479.466367
-2.812943,97,1479.621785
-79.91908,107,1479.795545
-70.208766,104,1479.964363
-93.428568,162,1480.214957
-64.003749,136,1480.436285
-100.122151,172,1480.728129
-58.355107,153,1480.973065
-68.623499,70,1481.093423
-35.046235,130,1481.307667
-55.5283,184,1481.629252
-79.253199,100,1481.795192
-111.091433,158,1482.047075
-64.277501,102,1573.671639
-32.761802,81,1573.762649
-21.525072,134,1573.90274
-94.30059,139,1574.031465
-36.408968,95,1574.11746
-70.957815,144,1574.24233
-57.262652,135,1574.354238
-89.076308,123,1574.458493
-59.66189,164,1574.606422
-55.66423,140,1574.725798
-107.871071,173,1574.874303
-104.594401,187,1575.034484
-34.641387,132,1575.14643
-56.783845,96,1575.228244
-198.710347,206,1575.399643
-74.610017,190,1575.558357
-89.123637,72,1575.618697
-130.335134,111,1575.711196
-98.825133,104,1575.797723
-52.489313,115,1575.896878
-79.191214,90,1575.971988
-48.355987,85,1576.044194
-51.959306,138,1576.161974
-39.235946,99,1576.247553
-100.433127,210,1576.423022
-79.480176,128,1576.530897
-27.181405,156,1576.658664
-50.626057,156,1576.785725
-48.395164,62,1576.838392
-110.545479,116,1576.935857
-111.754909,91,1577.00753
15.596858,1000,1577.914491
-14.506865,132,1578.031155
-49.608292,90,1578.116254
-66.424043,118,1578.220734
-30.897672,188,1578.378305
-5.054666,93,1578.463041
-55.690478,99,1578.5461
-87.727714,159,1578.68526
-81.763076,88,1578.759246
-72.168021,96,1578.83557
-52.344456,155,1578.965517
-115.261163,168,1579.113465
1.474197,141,1579.229292
-81.537728,123,1579.337259
-44.191377,166,1579.486318
-28.762632,182,1579.647085
-77.882917,133,1579.760254
-65.567922,101,1579.845713
-48.725629,114,1579.944137
-54.484424,70,1579.99981
-10.285464,70,1580.058197
-84.39174,141,1580.182251
-64.506251,101,1580.263009
-35.013091,114,1580.364671
-67.966321,72,1580.425217
-62.352804,84,1580.497427
-83.289743,146,1580.621791
-161.560065,184,1580.776179
-60.459084,101,1580.866102
-219.788953,156,1580.997127
-109.074694,139,1581.115455
-79.349195,202,1581.291355
-66.302671,80,1581.362435
-48.652692,162,1581.493057
19.383764,154,1581.627713
-36.657265,105,1581.717376
3.346206,136,1581.839702
-141.085474,123,1581.944387
-113.37992,65,1581.999194
-80.756748,88,1582.075251
-49.848922,100,1582.161009
-49.32945,162,1640.929669
-31.89362,89,1641.02043
-16.515478,172,1641.185917
-226.848961,91,1641.271441
-19.502586,75,1641.337655
-72.791602,122,1641.457811
-83.111808,103,1641.550814
-133.664802,137,1641.672795
-46.103249,123,1641.781669
80.425674,1000,1642.652699
-76.213417,71,1642.71292
-70.976656,139,1642.825606
-39.136165,173,1642.97082
-43.446596,110,1643.067429
-44.129014,123,1643.172298
-47.354856,191,1643.32715
-181.969199,138,1643.441648
-54.825854,214,1643.627109
79.964654,1000,1644.570617
-28.45088,126,1644.685434
-109.873168,109,1644.774504
-42.611721,130,1644.896938
-30.816545,181,1645.049715
-37.676181,86,1645.119558
-12.374019,94,1645.200911
-71.29643,92,1645.276594
-26.115624,114,1645.376052
-21.394274,153,1645.511529
-68.47404,98,1645.590171
-58.054158,156,1645.721285
-53.695472,194,1645.888896
-37.76373,127,1645.989961
-57.115595,163,1646.141495
-81.386116,70,1646.201451
-136.207215,297,1646.459991
-154.674795,100,1646.544183
-58.266708,105,1646.631066
-214.650496,166,1646.772643
-72.857293,188,1646.945959
82.294,1000,1647.810619
26.15399,178,1647.96821
-123.028135,208,1648.157357
-88.321964,144,1648.277531
-27.633545,107,1648.36968
-71.95562,195,1648.534382
14.166173,148,1648.663357
-129.259941,252,1648.885517
-117.722725,163,1649.029563
1.855361,142,1649.153422
-54.758995,175,1649.308689
-60.401962,160,1649.448138
-59.11105,121,1649.552243
-5.968409,94,1649.631045
-29.462477,126,1710.917824
-62.025896,175,1711.098706
-66.376328,99,1711.182978
-27.130376,133,1711.303121
-40.442544,154,1711.433338
-18.693237,279,1711.678608
-60.107289,162,1711.815171
-70.758435,223,1712.008572
-78.803502,145,1712.140859
-33.978926,103,1712.232592
-24.18867,148,1712.365532
